Student_ID,Emotion,Engagement status,frame
CAP7,Neutral,engaged,0.0
CAP6,Neutral,engaged,0.0
CAP8,Neutral,disengaged,0.0
CAP2,Neutral,engaged,0.0
CAP3,Neutral,engaged,0.0
CAP4,Neutral,disengaged,0.0
CAP5,Neutral,engaged,0.0
CAP9,Neutral,highly engaged,0.0
CAP7,Neutral,engaged,0.03
CAP6,Neutral,engaged,0.03
CAP8,Neutral,disengaged,0.03
CAP2,Neutral,highly engaged,0.03
CAP3,Neutral,engaged,0.03
CAP4,Neutral,disengaged,0.03
CAP5,Neutral,engaged,0.03
CAP9,Neutral,engaged,0.03
CAP7,Neutral,engaged,0.07
CAP6,Neutral,engaged,0.07
CAP8,Neutral,disengaged,0.07
CAP2,Neutral,highly engaged,0.07
CAP3,Sad,disengaged,0.07
CAP4,Sad,disengaged,0.07
CAP5,Sad,disengaged,0.07
CAP9,Sad,disengaged,0.07
CAP6,Sad,disengaged,0.1
CAP7,Sad,disengaged,0.1
CAP8,Sad,disengaged,0.1
CAP4,Sad,disengaged,0.1
CAP2,Sad,engaged,0.1
CAP3,Sad,disengaged,0.1
CAP5,Sad,disengaged,0.1
CAP9,Sad,engaged,0.1
CAP6,Sad,disengaged,0.13
CAP7,Sad,disengaged,0.13
CAP8,Sad,disengaged,0.13
CAP4,Sad,disengaged,0.13
CAP3,Sad,disengaged,0.13
CAP2,Sad,engaged,0.13
CAP5,Sad,disengaged,0.13
CAP9,Sad,engaged,0.13
CAP6,Neutral,highly engaged,0.17
CAP7,Neutral,engaged,0.17
CAP8,Neutral,disengaged,0.17
CAP4,Neutral,engaged,0.17
CAP2,Neutral,highly engaged,0.17
CAP3,Neutral,engaged,0.17
CAP5,Neutral,engaged,0.17
CAP9,Neutral,highly engaged,0.17
CAP6,Neutral,highly engaged,0.2
CAP7,Neutral,engaged,0.2
CAP8,Neutral,disengaged,0.2
CAP4,Neutral,engaged,0.2
CAP3,Neutral,disengaged,0.2
CAP2,Neutral,highly engaged,0.2
CAP5,Neutral,engaged,0.2
CAP9,Neutral,highly engaged,0.2
CAP1,Neutral,engaged,0.2
CAP7,Neutral,engaged,0.23
CAP6,Neutral,highly engaged,0.23
CAP8,Neutral,disengaged,0.23
CAP3,Sad,disengaged,0.23
CAP4,Sad,disengaged,0.23
CAP2,Sad,disengaged,0.23
CAP5,Sad,disengaged,0.23
CAP9,Sad,engaged,0.23
CAP7,Sad,disengaged,0.27
CAP6,Sad,engaged,0.27
CAP8,Sad,disengaged,0.27
CAP4,Sad,disengaged,0.27
CAP2,Sad,disengaged,0.27
CAP3,Sad,disengaged,0.27
CAP5,Sad,disengaged,0.27
CAP9,Sad,engaged,0.27
CAP7,Sad,disengaged,0.3
CAP8,Sad,disengaged,0.3
CAP6,Sad,disengaged,0.3
CAP3,Sad,disengaged,0.3
CAP4,Sad,disengaged,0.3
CAP2,Sad,disengaged,0.3
CAP5,Sad,disengaged,0.3
CAP9,Neutral,highly engaged,0.3
CAP1,Neutral,engaged,0.3
CAP6,Neutral,disengaged,0.33
CAP7,Neutral,highly engaged,0.33
CAP8,Neutral,disengaged,0.33
CAP3,Neutral,disengaged,0.33
CAP4,Neutral,disengaged,0.33
CAP2,Neutral,engaged,0.33
CAP5,Neutral,engaged,0.33
CAP9,Neutral,highly engaged,0.33
CAP1,Neutral,highly engaged,0.33
CAP6,Neutral,disengaged,0.37
CAP7,Neutral,highly engaged,0.37
CAP8,Neutral,disengaged,0.37
CAP3,Neutral,engaged,0.37
CAP4,Neutral,disengaged,0.37
CAP2,Neutral,highly engaged,0.37
CAP5,Neutral,engaged,0.37
CAP9,Neutral,highly engaged,0.37
CAP1,Neutral,highly engaged,0.37
CAP6,Sad,disengaged,0.4
CAP8,Sad,disengaged,0.4
CAP7,Sad,disengaged,0.4
CAP2,Sad,disengaged,0.4
CAP3,Sad,disengaged,0.4
CAP4,Sad,disengaged,0.4
CAP5,Sad,disengaged,0.4
CAP9,Sad,engaged,0.4
CAP1,Sad,disengaged,0.4
CAP6,Sad,disengaged,0.43
CAP8,Sad,disengaged,0.43
CAP7,Sad,disengaged,0.43
CAP2,Sad,disengaged,0.43
CAP3,Sad,disengaged,0.43
CAP4,Sad,disengaged,0.43
CAP5,Sad,disengaged,0.43
CAP9,Sad,engaged,0.43
CAP6,Sad,disengaged,0.47
CAP8,Sad,disengaged,0.47
CAP7,Sad,disengaged,0.47
CAP2,Angry,disengaged,0.47
CAP4,Angry,disengaged,0.47
CAP5,Angry,disengaged,0.47
CAP3,Angry,disengaged,0.47
CAP9,Angry,disengaged,0.47
CAP6,Angry,disengaged,0.5
CAP8,Angry,disengaged,0.5
CAP7,Angry,disengaged,0.5
CAP2,Angry,disengaged,0.5
CAP4,Angry,disengaged,0.5
CAP5,Angry,disengaged,0.5
CAP3,Angry,disengaged,0.5
CAP9,Angry,disengaged,0.5
CAP6,Angry,disengaged,0.53
CAP8,Angry,disengaged,0.53
CAP7,Angry,disengaged,0.53
CAP2,Angry,disengaged,0.53
CAP4,Angry,disengaged,0.53
CAP5,Angry,disengaged,0.53
CAP3,Angry,disengaged,0.53
CAP9,Angry,disengaged,0.53
CAP6,Angry,disengaged,0.57
CAP8,Angry,disengaged,0.57
CAP7,Angry,disengaged,0.57
CAP2,Angry,disengaged,0.57
CAP4,Angry,disengaged,0.57
CAP5,Angry,disengaged,0.57
CAP3,Angry,disengaged,0.57
CAP9,Angry,disengaged,0.57
CAP6,Angry,disengaged,0.6
CAP8,Angry,disengaged,0.6
CAP7,Angry,disengaged,0.6
CAP2,Angry,disengaged,0.6
CAP3,Angry,disengaged,0.6
CAP5,Angry,disengaged,0.6
CAP4,Angry,disengaged,0.6
CAP9,Angry,disengaged,0.6
CAP6,Angry,disengaged,0.63
CAP7,Angry,disengaged,0.63
CAP8,Angry,disengaged,0.63
CAP2,Angry,disengaged,0.63
CAP3,Angry,disengaged,0.63
CAP5,Angry,disengaged,0.63
CAP4,Angry,disengaged,0.63
CAP9,Angry,disengaged,0.63
