Student_ID,Emotion,Engagement status,frame
STUD2,Sad,disengaged,0.44
STUD2,Sad,disengaged,0.48
STUD2,Sad,disengaged,0.52
STUD2,Sad,disengaged,0.56
STUD2,Sad,disengaged,0.6
STUD3,Sad,disengaged,0.6
STUD2,Sad,disengaged,0.64
STUD3,Sad,disengaged,0.64
STUD5,Sad,disengaged,0.68
STUD3,Sad,disengaged,0.68
STUD5,Sad,disengaged,0.72
STUD3,Sad,disengaged,0.72
STUD5,Sad,disengaged,0.76
STUD3,Sad,disengaged,0.76
STUD2,Sad,disengaged,0.8
STUD3,Sad,disengaged,0.8
STUD2,Sad,disengaged,0.84
STUD3,Sad,disengaged,0.84
STUD2,Sad,disengaged,0.88
STUD3,Sad,disengaged,0.88
STUD2,Sad,disengaged,0.92
STUD3,Sad,disengaged,0.92
STUD2,Sad,disengaged,0.96
STUD3,Sad,disengaged,0.96
STUD2,Sad,disengaged,1.0
STUD3,Sad,disengaged,1.0
STUD2,Sad,disengaged,1.04
STUD3,Sad,disengaged,1.04
STUD2,Sad,disengaged,1.08
STUD3,Sad,disengaged,1.08
STUD2,Sad,disengaged,1.12
STUD3,Sad,disengaged,1.12
STUD2,Sad,disengaged,1.16
STUD3,Sad,disengaged,1.16
STUD2,Sad,engaged,1.2
STUD3,Sad,disengaged,1.2
STUD2,Sad,engaged,1.24
STUD3,Sad,disengaged,1.24
STUD2,Sad,engaged,1.28
STUD3,Sad,disengaged,1.28
STUD8,Neutral,engaged,1.28
STUD2,Neutral,highly engaged,1.32
STUD3,Neutral,disengaged,1.32
STUD8,Neutral,engaged,1.32
STUD2,Neutral,highly engaged,1.36
STUD3,Neutral,disengaged,1.36
STUD5,Neutral,engaged,1.36
STUD8,Neutral,engaged,1.36
STUD2,Neutral,highly engaged,1.4
STUD3,Neutral,disengaged,1.4
STUD5,Neutral,engaged,1.4
STUD8,Neutral,engaged,1.4
STUD1,Neutral,engaged,1.4
STUD2,Neutral,highly engaged,1.44
STUD10,Neutral,engaged,1.44
STUD3,Neutral,disengaged,1.44
STUD6,Neutral,engaged,1.44
STUD5,Neutral,engaged,1.44
STUD8,Neutral,highly engaged,1.44
STUD1,Neutral,engaged,1.44
STUD2,Neutral,highly engaged,1.48
STUD10,Neutral,engaged,1.48
STUD3,Neutral,disengaged,1.48
STUD5,Neutral,engaged,1.48
STUD6,Neutral,engaged,1.48
STUD8,Neutral,engaged,1.48
STUD1,Neutral,engaged,1.48
STUD2,Neutral,highly engaged,1.52
STUD10,Neutral,engaged,1.52
STUD3,Neutral,disengaged,1.52
STUD5,Neutral,disengaged,1.52
STUD6,Neutral,engaged,1.52
STUD8,Neutral,engaged,1.52
STUD1,Neutral,highly engaged,1.52
STUD2,Neutral,highly engaged,1.56
STUD10,Neutral,engaged,1.56
STUD5,Neutral,disengaged,1.56
STUD3,Neutral,disengaged,1.56
STUD6,Neutral,engaged,1.56
STUD8,Neutral,engaged,1.56
STUD2,Neutral,highly engaged,1.6
STUD10,Neutral,engaged,1.6
STUD5,Neutral,disengaged,1.6
STUD3,Neutral,disengaged,1.6
STUD6,Neutral,engaged,1.6
STUD8,Neutral,engaged,1.6
STUD7,Neutral,engaged,1.6
STUD5,Neutral,highly engaged,1.64
STUD10,Neutral,engaged,1.64
STUD5,Neutral,disengaged,1.64
STUD3,Neutral,disengaged,1.64
STUD6,Neutral,engaged,1.64
STUD8,Neutral,engaged,1.64
STUD7,Neutral,engaged,1.64
STUD2,Neutral,highly engaged,1.68
STUD10,Neutral,engaged,1.68
STUD3,Neutral,disengaged,1.68
STUD6,Neutral,engaged,1.68
STUD5,Neutral,disengaged,1.68
STUD8,Neutral,engaged,1.68
STUD7,Neutral,engaged,1.68
STUD2,Neutral,highly engaged,1.72
STUD10,Neutral,highly engaged,1.72
STUD3,Neutral,disengaged,1.72
STUD6,Neutral,engaged,1.72
STUD5,Neutral,disengaged,1.72
STUD8,Neutral,engaged,1.72
